2025-01-27 02:50:44 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:53:15 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:55:08 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:58:29 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 03:00:31 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 03:02:48 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 03:08:01 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 03:10:46 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 03:18:43 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 03:21:45 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
