2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f7273745f667261
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 206d65203d207365
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 216c662e7278666e
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2228290d0a232020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2320202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 246966206c656e28
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2566697273745f66
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2672616d65292021
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 273d20383a0d0a23
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2820202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2920202020202072
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a61697365205661
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b6c75654572726f
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c722822496e7661
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d6c696420667261
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e6d65206c656e67
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f74683a20467261
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 206d65206d757374
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2120626520382062
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 22797465732e2229
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 230d0a0d0a232020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2420202020202020
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 256672616d655f74
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 26797065203d2066
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 27697273745f6672
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 28616d655b305d20
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 293e3e2034202023
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2a20457874726163
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2b74207468652066
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2c69727374203420
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2d6269747320746f
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2e2064657465726d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 2f696e6520746865
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 20206672616d6520
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 21747970650d0a0d
2024-12-17 19:54:34 - INFO - Consecutive frame (hex): 220a232020202020
